정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
걸포북변 [김포골드라인],~,2025-10-19(일),0,0,47,18,65,50,110,43,260,95,247,85,302,142,251,122,295,147,279,160,256,185,242,218,208,249,170,266,186,253,132,230,95,226,80,216,63,159,29,86,0,0,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-20(월),0,0,121,19,471,94,993,151,938,225,424,147,264,144,266,167,223,169,231,205,211,226,200,278,251,342,308,461,229,681,128,671,94,378,56,307,48,243,28,107,7,58,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-21(화),0,0,112,19,428,95,991,142,969,275,411,141,295,158,265,163,265,169,257,188,204,212,234,287,277,405,295,456,236,628,142,723,97,385,90,326,83,263,42,130,14,54,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-22(수),0,0,109,29,388,90,913,145,978,273,408,184,276,213,317,216,319,242,294,238,245,217,256,291,310,431,319,454,242,680,156,689,96,368,81,304,77,349,28,144,13,42,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-23(목),0,0,117,27,396,101,964,147,927,279,416,135,307,163,246,159,273,183,260,190,211,169,252,270,292,378,328,516,260,651,159,708,88,364,95,329,69,308,37,176,21,40,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-24(금),0,0,116,34,381,94,901,144,948,232,420,144,311,138,260,170,257,210,245,228,252,226,280,306,290,340,341,517,297,670,190,654,109,373,96,311,73,320,46,198,17,106,0,0,0,0,0,0,
걸포북변 [김포골드라인],~,2025-10-25(토),0,0,73,32,128,79,214,56,351,114,378,134,367,135,387,156,341,218,320,219,300,268,300,257,324,300,247,356,196,342,137,254,94,257,119,298,74,241,40,154,0,0,0,0,0,0,0,0,
